stock_name,cmp,rec_price,target_price,stop_loss,rec_update,action_type,rec_price_from,rec_price_to,unique_key
ITC LIMITED (ITC)  Margin -Buy,508.8,512.00-513.00(19-Sep-2024 09:57),518.0,508.8,SLTP : 19-Sep-2024 14:56,buy,512.0,513.0,ITC LIMITED (ITC)  MARGIN -BUY_512.00-513.00(19-Sep-2024 09:57)_buy
DLF LIMITED (DLFLIM)  Margin -Sell,837.3,839.00-840.00(19-Sep-2024 11:40),833.0,843.0,Book Full Profit : 19-Sep-2024 11:47,sell,839.0,840.0,DLF LIMITED (DLFLIM)  MARGIN -SELL_839.00-840.00(19-Sep-2024 11:40)_sell
GLENMARK PHARMACEUTICALS LTD (GLEPHA)  Margin -Sell,1637.55,"1,634.00-1,635.00(19-Sep-2024 11:24)",1620.0,1643.0,SLTP : 19-Sep-2024 11:37,sell,1634.0,1635.0,GLENMARK PHARMACEUTICALS LTD (GLEPHA)  MARGIN -SELL_1634.00-1635.00(19-Sep-2024 11:24)_sell
BHARAT HEAVY ELECTRICALS LTD (BHEL)  Margin -Sell,253.5,254.50-255.50(19-Sep-2024 11:25),251.3,257.0,Book Full Profit : 19-Sep-2024 11:31,sell,254.5,255.5,BHARAT HEAVY ELECTRICALS LTD (BHEL)  MARGIN -SELL_254.50-255.50(19-Sep-2024 11:25)_sell
BHARAT ELECTRONICS LTD (BHAELE)  Margin -Sell,275.1,277.50-278.00(19-Sep-2024 10:05),273.4,280.0,Book Full Profit : 19-Sep-2024 10:35,sell,277.5,278.0,BHARAT ELECTRONICS LTD (BHAELE)  MARGIN -SELL_277.50-278.00(19-Sep-2024 10:05)_sell
LARSEN AND TOUBRO LIMITED (LARTOU)  Margin -Buy,3718.65,"3,735.00-3,740.00(19-Sep-2024 08:48)",3780.0,3716.9,SLTP : 19-Sep-2024 10:11,buy,3735.0,3740.0,LARSEN AND TOUBRO LIMITED (LARTOU)  MARGIN -BUY_3735.00-3740.00(19-Sep-2024 08:48)_buy
REC LIMITED (RURELE)  Margin -Sell,536.65,539.00-539.50(19-Sep-2024 09:54),535.0,543.3,TGT1 : 19-Sep-2024 10:01,sell,539.0,539.5,REC LIMITED (RURELE)  MARGIN -SELL_539.00-539.50(19-Sep-2024 09:54)_sell
TATA POWER CO LTD (TATPOW)  Margin -Buy,445.95,447.30-447.70(19-Sep-2024 09:44),452.0,444.5,Exit : 19-Sep-2024 09:58,buy,447.3,447.7,TATA POWER CO LTD (TATPOW)  MARGIN -BUY_447.30-447.70(19-Sep-2024 09:44)_buy
BAJAJ FINANCE LIMITED (BAJFI)  Margin -Buy,7650.0,"7,715.00-7,718.00(19-Sep-2024 09:22)",7778.0,7680.0,SLTP : 19-Sep-2024 09:33,buy,7715.0,7718.0,BAJAJ FINANCE LIMITED (BAJFI)  MARGIN -BUY_7715.00-7718.00(19-Sep-2024 09:22)_buy
L&T FINANCE LIMITED (LTFINA)  Margin -Buy,178.5,179.00-180.00(19-Sep-2024 08:49),182.0,178.4,Book Full Profit : 19-Sep-2024 09:33,buy,179.0,180.0,L&T FINANCE LIMITED (LTFINA)  MARGIN -BUY_179.00-180.00(19-Sep-2024 08:49)_buy
NTPC LIMITED (NTPC)  Margin -Buy,429.15,426.00-427.00(19-Sep-2024 09:30),433.0,422.7,Book Full Profit : 19-Sep-2024 09:38,buy,426.0,427.0,NTPC LIMITED (NTPC)  MARGIN -BUY_426.00-427.00(19-Sep-2024 09:30)_buy
